feature,importance
engagement_rate,0.2098342160173554
account_age_months,0.1886952932630356
ff_ratio,0.14641718867972112
avg_comments,0.08815508167150035
avg_likes,0.08192710744746343
log_followers,0.06903044926673163
followers,0.06006134017378373
is_private,0.04249114725447137
log_posts,0.02946878091439623
posts,0.0285099058112655
log_following,0.018580957536827255
following,0.01627898357761398
has_numeric_username,0.008871656167022823
completeness_score,0.007094793618097145
post_frequency,0.0035664123716794274
has_external_url,0.0009244836040514787
has_bio,7.085474811726018e-05
has_profile_pic,2.1347876866431845e-05
